DateTime,Entries,UniqueIPs
1526749462,4004,4004
1526750412,4007,4007
1526751405,4011,4011
1526752356,3977,3977
1526753330,3990,3990
1526754263,3984,3984
1526755215,3998,3998
1526756171,3994,3994
1526757163,4003,4003
1526758092,3996,3996
1526759061,3991,3991
1526760021,3972,3972
1526760986,3964,3964
1526761949,3962,3962
1526762894,3945,3945
1526763869,3947,3947
1526764824,3936,3936
1526765775,3960,3960
1526766755,3991,3991
1526767696,4033,4033
1526768658,3944,3944
1526769569,3948,3948
1526770584,3933,3933
1526771563,3952,3952
1526772604,3949,3949
1526773698,3954,3954
1526774663,3955,3955
1526775616,3949,3949
1526776591,3950,3950
1526777532,3943,3943
1526778496,3951,3951
1526779455,3924,3924
1526780419,3901,3901
1526781371,3875,3875
1526782378,3898,3898
1526783293,3910,3910
1526784273,3912,3912
1526785218,3890,3890
1526786186,3871,3871
1526787143,3860,3860
1526788099,3844,3844
1526789073,3865,3865
1526790014,3846,3846
1526790986,3837,3837
1526791935,3838,3838
1526792918,3815,3815
1526793860,3803,3803
1526794817,3812,3812
1526795779,3799,3799
1526796762,3826,3826
1526797699,3832,3832
1526798658,3843,3843
1526799626,3823,3823
1526800579,3790,3790
1526801544,3774,3774
1526802532,3779,3779
1526803465,3821,3821
1526804429,3861,3861
1526805378,3866,3866
1526806347,3867,3867
1526807310,3871,3871
1526808278,3860,3860
1526809217,3855,3855
1526810178,3840,3840
1526811145,3853,3853
1526812097,3840,3840
1526813057,3831,3831
1526814022,3829,3829
1526814990,3836,3836
1526816216,3834,3834
1526817138,3823,3823
1526818101,3814,3814
1526819079,3811,3811
1526820020,3817,3817
1526820977,3771,3771
1526821974,3749,3749
1526823143,3791,3791
1526824095,3840,3840
1526825088,3873,3873
1526826016,3885,3885
1526827220,3887,3887
1526828192,3896,3896
1526829143,3900,3900
1526830095,3891,3891
1526831057,3892,3892
1526832050,3885,3885
1526832989,3863,3863
1526833959,3872,3872
1526834895,3872,3872
1526835865,3897,3897
1526836820,3854,3854
1526837803,3867,3867
1526838737,3873,3873
1526839720,3875,3875
1526840658,3882,3882
1526841617,3871,3871
1526842586,3856,3856
1526843557,3859,3859
1526844495,3865,3865
1526845502,3860,3860
1526846428,3848,3848
1526847386,3831,3831
1526848347,3805,3805
1526849297,3814,3814
1526850264,3804,3804
1526851218,3759,3759
1526852207,3737,3737
1526853140,3820,3820
1526854113,3707,3707
1526855077,3703,3703
1526856149,3690,3690
1526857982,3653,3653
1526858893,3607,3607
1526859870,3565,3565
1526860823,3555,3555
1526861815,3613,3613
1526862742,3637,3637
1526863700,3608,3608
1526864673,3549,3549
1526865629,3514,3514
1526866604,3480,3480
1526867545,3480,3480
1526868495,3477,3477
1526869462,3457,3457
1526870416,3447,3447
1526871397,3470,3470
1526872338,3470,3470
1526873328,3456,3456
1526874283,3457,3457
1526875263,3466,3466
1526876179,3451,3451
1526877146,3409,3409
1526878100,3245,3245
1526879086,3205,3205
1526880013,3259,3259
1526880989,3319,3319
1526881937,3356,3356
1526882924,3387,3387
1526883855,3402,3402
1526884827,3363,3363
1526885777,3336,3336
1526886781,3351,3351
1526887692,3356,3356
1526888670,3368,3368
1526889625,3356,3356
1526890581,3335,3335
1526891540,3320,3320
1526892557,3316,3316
1526893461,3299,3299
1526894419,3288,3288
1526895385,3268,3268
1526896367,3277,3277
1526897301,3277,3277
1526898265,3283,3283
1526899217,3287,3287
1526900216,3281,3281
1526901146,3279,3279
1526902099,3273,3273
1526903085,3282,3282
1526904062,3269,3269
1526904974,3261,3261
1526905955,3240,3240
1526906898,3232,3232
1526907872,3222,3222
1526909092,3233,3233
1526910263,3238,3238
1526911219,3236,3236
1526912186,3232,3232
1526913147,3232,3232
1526914096,3225,3225
1526915061,3239,3239
1526916013,3238,3238
1526917004,3228,3228
1526917940,3220,3220
1526918937,3221,3221
1526919863,3239,3239
1526920816,3250,3250
1526921791,3245,3245
1526922760,3224,3224
1526923697,3236,3236
1526924658,3245,3245
1526925635,3265,3265
1526926872,3270,3270
1526928038,3278,3278
1526928976,3271,3271
1526929966,3280,3280
1526931168,3275,3275
1526932108,3288,3288
1526933076,3297,3297
1526935030,3311,3311
1526936199,3296,3296
1526937187,3294,3294
1526938112,3335,3335
1526939092,3371,3371
1526940062,3397,3397
1526941265,3324,3324
1526942332,3327,3327
1526943629,3352,3352
1526944584,3371,3371
1526945547,3378,3378
1526946507,3373,3373
1526947467,3367,3367
1526948421,3356,3356
